case_name,architecture,assignment,chunk_size,request_rate_per_second,input_tokens,output_tokens,trace_num_requests,prefill_gpu_count,decode_gpu_count,colocated_gpu_count,scheduler_max_prefill_batch_tokens,pd_prefill_max_batch_tokens,ttft_mean_ms,tpot_mean_ms,e2e_mean_ms,e2e_p99_ms,slo_attainment_fraction,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,source_summary,request_config_path
c4__chunk_1024__rps_04__in_06144__out_2048,colocated_chunked,C4,1024,4.0,6144,2048,256,,,4,1024,,11806.770404335937,24.54773806948471,62051.701120640624,75883.309058,0.5,1.0191849679107456,4174.581628562414,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_06144__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_06144__out_2048/request.json
c4__chunk_1024__rps_04__in_07168__out_2048,colocated_chunked,C4,1024,4.0,7168,2048,256,,,4,1024,,12783.143301226562,25.180704594852447,64324.389461484374,79351.178038,0.5,1.004158787295372,4113.034392761843,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_07168__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_07168__out_2048/request.json
c4__chunk_1024__rps_04__in_10000__out_2048,colocated_chunked,C4,1024,4.0,10000,2048,256,,,4,1024,,15770.544668453123,26.89415163625717,70820.93036950781,89752.596403,0.12109375,0.23308736551563752,3942.093828756857,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_10000__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_10000__out_2048/request.json
p1d3__chunk_0256__rps_04__in_00128__out_2048,pd_disaggregated,P1/D3,256,4.0,128,2048,256,1,3,,256,256,130.70370936328123,23.708758,48594.98644936328,48627.172995,1.0,2.294069287616475,4698.253901038541,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_00128__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_00128__out_2048/request.json
p1d3__chunk_0256__rps_04__in_00256__out_2048,pd_disaggregated,P1/D3,256,4.0,256,2048,256,1,3,,256,256,136.3653870078125,23.708758,48600.64812700781,48637.862942,1.0,2.293915988166371,4697.939943764728,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_00256__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_00256__out_2048/request.json
p1d3__chunk_0256__rps_04__in_00512__out_2048,pd_disaggregated,P1/D3,256,4.0,512,2048,256,1,3,,256,256,188.64980294921875,23.708758,48652.93254294922,48777.281254,1.0,2.2933788614193,4696.8399081867265,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_00512__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_00512__out_2048/request.json
p1d3__chunk_0256__rps_04__in_01024__out_2048,pd_disaggregated,P1/D3,256,4.0,1024,2048,256,1,3,,256,256,386.0499685859375,23.709003512577056,48850.835518343745,49270.342223,1.0,2.290142420301568,4690.2116767776115,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_01024__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_01024__out_2048/request.json
p1d3__chunk_0256__rps_04__in_01536__out_2048,pd_disaggregated,P1/D3,256,4.0,1536,2048,256,1,3,,256,256,1838.751144078125,23.708758,50303.033884078126,52879.611463,0.6484375,1.4781735089633947,4668.606220887953,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_01536__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_01536__out_2048/request.json
p1d3__chunk_0256__rps_04__in_02048__out_2048,pd_disaggregated,P1/D3,256,4.0,2048,2048,256,1,3,,256,256,11957.017943101562,23.70894548998642,60421.68466259375,67816.468483,0.04296875,0.088787073723721,4231.817937132931,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_02048__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_02048__out_2048/request.json
p1d3__chunk_0256__rps_04__in_03072__out_2048,pd_disaggregated,P1/D3,256,4.0,3072,2048,256,1,3,,256,256,47725.3723165,23.70878667286682,96189.71377853125,112871.058882,0.0078125,0.012380495504929886,3245.47261364434,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_03072__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_03072__out_2048/request.json
p1d3__chunk_0256__rps_04__in_04096__out_2048,pd_disaggregated,P1/D3,256,4.0,4096,2048,256,1,3,,256,256,84696.19166635156,23.708758,133160.47440635157,152158.90205499998,0.0,0.0,2632.000704056333,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_04096__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_04096__out_2048/request.json
p1d3__chunk_0256__rps_04__in_06144__out_2048,pd_disaggregated,P1/D3,256,4.0,6144,2048,256,1,3,,256,256,159467.278890875,23.708758,207931.561630875,228789.006799,0.0,0.0,1909.8180630808993,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_06144__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_06144__out_2048/request.json
p1d3__chunk_0256__rps_04__in_07168__out_2048,pd_disaggregated,P1/D3,256,4.0,7168,2048,256,1,3,,256,256,197056.33809578905,23.708758,245520.62083578904,266633.903911,0.0,0.0,1679.426237687633,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_07168__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_07168__out_2048/request.json
p1d3__chunk_0256__rps_04__in_10000__out_2048,pd_disaggregated,P1/D3,256,4.0,10000,2048,256,1,3,,256,256,309036.2149660703,23.708758,357500.4977060703,378774.34816299996,0.0,0.0,1238.3676232885775,build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_10000__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/pd_chunk256_assignments/p1d3__chunk_0256__rps_04__in_10000__out_2048/request.json
p2d2__chunk_0064__rps_04__in_00128__out_2048,pd_disaggregated,P2/D2,64,4.0,128,2048,256,2,2,,64,64,167.106267078125,24.5942435452919,50440.50798083594,50454.372209,1.0,2.2567343431107054,4621.791934690725,build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_00128__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_00128__out_2048/request.json
p2d2__chunk_0064__rps_04__in_00256__out_2048,pd_disaggregated,P2/D2,64,4.0,256,2048,256,2,2,,64,64,235.376313203125,24.594270322715758,50508.832867125,50584.468495,1.0,2.2554942663020787,4619.252257386657,build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_00256__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_00256__out_2048/request.json
p2d2__chunk_0064__rps_04__in_00512__out_2048,pd_disaggregated,P2/D2,64,4.0,512,2048,256,2,2,,64,64,417.05663290625,24.593827879026414,50689.60706215234,50953.487224,1.0,2.2529254093542512,4613.9912383575065,build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_00512__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_00512__out_2048/request.json
p2d2__chunk_0064__rps_04__in_01024__out_2048,pd_disaggregated,P2/D2,64,4.0,1024,2048,256,2,2,,64,64,4981.873033855469,24.59412750978851,55255.03710690234,59620.16824,0.171875,0.37847070005903144,4509.719236194306,build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_01024__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/p2d2_chunk_size/p2d2__chunk_0064__rps_04__in_01024__out_2048/request.json
